"ID","PDF_NAME","PAGE_NUM","YEAR","SCOPE_TYPE","VALUE","CHECK_IF_EXISTS"
"1","shell_sustainability_report_2019.pdf","88","2019","Direct GHG emissions (Scope 1)","70","Yes"
"2","shell_sustainability_report_2019.pdf","88","2018","Direct GHG emissions (Scope 1)","71","Yes"
"3","shell_sustainability_report_2019.pdf","88","2017","Direct GHG emissions (Scope 1)","73","Yes"
"4","shell_sustainability_report_2019.pdf","88","2016","Direct GHG emissions (Scope 1)","70","No"
"5","shell_sustainability_report_2019.pdf","88","2015","Direct GHG emissions (Scope 1)","70","No"
"6","shell_sustainability_report_2019.pdf","88","2019","Energy indirect GHG emissions (Scope 2)","10","Yes"
"7","shell_sustainability_report_2019.pdf","88","2018","Energy indirect GHG emissions (Scope 2","11","Yes"
"8","shell_sustainability_report_2019.pdf","88","2017","Energy indirect GHG emissions (Scope 2)","12","Yes"
"9","shell_sustainability_report_2019.pdf","88","2016","Energy indirect GHG emissions (Scope 2)","11","No"
"10","shell_sustainability_report_2019.pdf","88","2015","Energy indirect GHG emissions (Scope 2)","9","No"
"11","shell_sustainability_report_2019.pdf","88","2019","Scope 3","576","Yes"
"12","shell_sustainability_report_2019.pdf","88","2018","Scope 3","599","Yes"
"13","shell_sustainability_report_2019.pdf","88","2017","Scope 3","579","Yes"
"14","shell_sustainability_report_2019.pdf","88","2016","Scope 3","600","No"
"15","shell_sustainability_report_2019.pdf","88","2015","Scope 3","560","No"
