Name,Scope 1,Scope 2,Scope 3
Commerzbank_2018_EN,1.0,1.0,1.0
Commerzbank_2019_EN,1.0,1.0,1.0
Commerzbank_2020_EN,1.0,1.0,1.0
Commerzbank_2021_EN,1.0,1.0,0.0
Commerzbank_2022_EN,1.0,0.0,1.0
DekaBank Deutsche Girozentrale_2018_EN,0.0,0.0,0.0
DekaBank Deutsche Girozentrale_2019_EN,0.0,0.0,0.0
DekaBank Deutsche Girozentrale_2020_EN,0.0,0.0,0.0
DekaBank Deutsche Girozentrale_2021_EN,0.0,0.0,0.0
DekaBank Deutsche Girozentrale_2022_EN,0.0,0.0,0.0
Deutsche Bank_2018_EN,0.6666666666666666,0.3333333333333333,0.6666666666666666
Deutsche Bank_2019_EN,0.0,0.0,0.0
Deutsche Bank_2020_EN,0.6666666666666666,0.6666666666666666,0.6666666666666666
Deutsche Bank_2021_EN,0.0,0.6666666666666666,0.0
Deutsche Bank_2022_EN,0.6666666666666666,0.0,0.6666666666666666
DZ Bank_2019_EN,0.0,0.0,0.0
DZ Bank_2020_EN,0.0,0.0,0.0
DZ Bank_2021_EN,0.0,1.0,1.0
DZ Bank_2022_EN,1.0,1.0,1.0
